Type,Result,Values,Always,Never
3,16+,"169,178,259,268,349,358,367,457",,
3,17+,"179,269,278,359,368,458,467",,
3,18+,"189,279,369,378,459,468,567",,
3,19+,"289,379,469,478,568",,1
3,20+,"389,479,569,578",,12
3,21+,"489,579,678",,123
3,22+,"589,679",9,1234
3,23+,689,689,123457
3,24+,789,789,123456
3,4+L,112,12,3456789
3,5+L,"113,122",1,456789
3,6+L,"114,123",1,56789
3,7+L,"115,124,133,223",,6789
3,8+L,"116,125,134,224,233",,789
3,9+L,"117,126,135,144,225,234",,89
3,10+L,"118,127,136,145,226,235,244,334",,9
3,11+L,"119,128,137,146,155,227,236,245,335,344",,
3,12+L,"129,138,147,156,228,237,246,255,336,345",,
3,13+L,"139,148,157,166,229,238,247,256,337,346,355,445",,
3,14+L,"149,158,167,239,248,257,266,338,347,356,446,455",,
3,15+L,"159,168,177,249,258,267,339,348,357,366,447,456",,
3,16+L,"169,178,259,268,277,349,358,367,448,457,466,556",,
3,17+L,"179,188,269,278,359,368,377,449,458,467,557,566",,
3,18+L,"189,279,288,369,378,459,468,477,558,567",,
3,19+L,"199,289,379,388,469,478,559,568,577,667",,
3,20+L,"299,389,479,488,569,578,668,677",,1
3,21+L,"399,489,579,588,669,678",,12
3,22+L,"499,589,679,688,778",,123
3,23+L,"599,689,779,788",,1234
3,24+L,"699,789",9,12345
3,25+L,"799,889",9,123456
3,26+L,899,89,1234567
3,6x,123,123,456789
3,8x,124,124,356789
3,10x,125,125,346789
3,12x,"126,134",1,5789
3,14x,127,127,345689
3,15x,135,135,246789
3,16x,128,128,345679
3,18x,"129,136",1,4578
3,20x,145,145,236789
3,21x,137,137,245689
3,24x,"138,146,234",,579
3,27x,139,139,245678
3,28x,147,147,235689
3,30x,"156,235",5,4789
3,32x,148,148,235679
3,35x,157,157,234689
3,36x,"149,236",,578
3,40x,"158,245",5,3679
3,42x,"167,237",7,4589
3,45x,159,159,234678
3,48x,"168,238,246",,579
3,54x,"169,239",9,4578
3,56x,"178,247",7,3569
3,60x,"256,345",5,1789
3,63x,179,179,234568
3,64x,248,248,135679
3,70x,257,257,134689
3,72x,"189,249,346",,57
3,80x,258,258,134679
3,84x,"267,347",7,1589
3,90x,"259,356",5,1478
3,96x,"268,348",8,1579
3,105x,357,357,124689
3,108x,"269,349",9,1578
3,112x,278,278,134569
3,120x,"358,456",5,1279
3,126x,"279,367",7,1458
3,135x,359,359,124678
3,140x,457,457,123689
3,144x,"289,368",8,1457
3,160x,458,458,123679
3,162x,369,369,124578
3,168x,"378,467",7,1259
3,180x,459,459,123678
3,189x,379,379,124568
3,192x,468,468,123579
3,210x,567,567,123489
3,216x,"389,469",9,1257
3,224x,478,478,123569
3,240x,568,568,123479
3,252x,479,479,123568
3,270x,569,569,123478
3,280x,578,578,123469
3,288x,489,489,123567
3,315x,579,579,123468
3,336x,678,678,123459
3,360x,589,589,123467
3,378x,679,679,123458
3,432x,689,689,123457
3,504x,789,789,123456
3,2xL,112,12,3456789
3,3xL,113,13,2456789
3,4xL,"114,122",1,356789
3,5xL,115,15,2346789
3,6xL,"116,123",1,45789
3,7xL,117,17,2345689
3,8xL,"118,124",1,35679
3,9xL,"119,133",1,245678
3,10xL,125,125,346789
3,12xL,"126,134,223",,5789
3,14xL,127,127,345689
3,15xL,135,135,246789
3,16xL,"128,144,224",,35679
3,18xL,"129,136,233",,4578
3,20xL,"145,225",5,36789
3,21xL,137,137,245689
3,24xL,"138,146,226,234",,579
3,25xL,155,15,2346789
3,27xL,139,139,245678
3,28xL,"147,227",7,35689
3,30xL,"156,235",5,4789
3,32xL,"148,228,244",,35679
3,35xL,157,157,234689
3,36xL,"149,166,229,236,334",,578
3,40xL,"158,245",5,3679
3,42xL,"167,237",7,4589
3,45xL,"159,335",5,24678
3,48xL,"168,238,246,344",,579
3,49xL,177,17,2345689
3,50xL,255,25,1346789
3,54xL,"169,239,336",,4578
3,56xL,"178,247",7,3569
3,60xL,"256,345",5,1789
3,63xL,"179,337",7,24568
3,64xL,"188,248",8,35679
3,70xL,257,257,134689
3,72xL,"189,249,266,338,346",,57
3,75xL,355,35,1246789
3,80xL,"258,445",5,13679
3,81xL,"199,339",9,245678
3,84xL,"267,347",7,1589
3,90xL,"259,356",5,1478
3,96xL,"268,348,446",,1579
3,98xL,277,27,1345689
3,100xL,455,45,1236789
3,105xL,357,357,124689
3,108xL,"269,349,366",,1578
3,112xL,"278,447",7,13569
3,120xL,"358,456",5,1279
3,126xL,"279,367",7,1458
3,128xL,"288,448",8,135679
3,135xL,359,359,124678
3,140xL,457,457,123689
3,144xL,"289,368,449,466",,157
3,147xL,377,37,1245689
3,150xL,556,56,1234789
3,160xL,458,458,123679
3,162xL,"299,369",9,14578
3,168xL,"378,467",7,1259
3,175xL,557,57,1234689
3,180xL,"459,566",5,12378
3,189xL,379,379,124568
3,192xL,"388,468",8,12579
3,196xL,477,47,1235689
3,200xL,558,58,1234679
3,210xL,567,567,123489
3,216xL,"389,469",9,1257
3,224xL,478,478,123569
3,225xL,559,59,1234678
3,240xL,568,568,123479
3,243xL,399,39,1245678
3,245xL,577,57,1234689
3,252xL,"479,667",7,12358
3,256xL,488,48,1235679
3,270xL,569,569,123478
3,280xL,578,578,123469
3,288xL,"489,668",8,12357
3,294xL,677,67,1234589
3,315xL,579,579,123468
3,320xL,588,58,1234679
3,324xL,"499,669",9,123578
3,336xL,678,678,123459
3,360xL,589,589,123467
3,378xL,679,679,123458
3,384xL,688,68,1234579
3,392xL,778,78,1234569
3,405xL,599,59,1234678
3,432xL,689,689,123457
3,441xL,779,79,1234568
3,448xL,788,78,1234569
3,486xL,699,69,1234578
3,504xL,789,789,123456
3,567xL,799,79,1234568
3,576xL,889,89,1234567
3,648xL,899,89,1234567
4,10+,1234,1234,56789
4,11+,1235,1235,46789
4,12+,"1236,1245",12,789
4,13+,"1237,1246,1345",1,89
4,14+,"1238,1247,1256,1346,2345",,9
4,15+,"1239,1248,1257,1347,1356,2346",,
4,16+,"1249,1258,1267,1348,1357,1456,2347,2356",,
4,17+,"1259,1268,1349,1358,1367,1457,2348,2357,2456",,
4,18+,"1269,1278,1359,1368,1458,1467,2349,2358,2367,2457,3456",,
4,19+,"1279,1369,1378,1459,1468,1567,2359,2368,2458,2467,3457",,
4,20+,"1289,1379,1469,1478,1568,2369,2378,2459,2468,2567,3458,3467",,
4,21+,"1389,1479,1569,1578,2379,2469,2478,2568,3459,3468,3567",,
4,22+,"1489,1579,1678,2389,2479,2569,2578,3469,3478,3568,4567",,
4,23+,"1589,1679,2489,2579,2678,3479,3569,3578,4568",,
4,24+,"1689,2589,2679,3489,3579,3678,4569,4578",,
4,25+,"1789,2689,3589,3679,4579,4678",,
4,26+,"2789,3689,4589,4679,5678",,1
4,27+,"3789,4689,5679",9,12
4,28+,"4789,5689",89,123
4,29+,5789,5789,12346
4,30+,6789,6789,12345
4,24x,1234,1234,56789
4,30x,1235,1235,46789
4,36x,1236,1236,45789
4,40x,1245,1245,36789
4,42x,1237,1237,45689
4,48x,"1238,1246",12,579
4,54x,1239,1239,45678
4,56x,1247,1247,35689
4,60x,"1256,1345",15,789
4,64x,1248,1248,35679
4,70x,1257,1257,34689
4,72x,"1249,1346",14,578
4,80x,1258,1258,34679
4,84x,"1267,1347",17,589
4,90x,"1259,1356",15,478
4,96x,"1268,1348",18,579
4,105x,1357,1357,24689
4,108x,"1269,1349",19,578
4,112x,1278,1278,34569
4,120x,"1358,1456,2345",5,79
4,126x,"1279,1367",17,458
4,135x,1359,1359,24678
4,140x,1457,1457,23689
4,144x,"1289,1368,2346",,57
4,160x,1458,1458,23679
4,162x,1369,1369,24578
4,168x,"1378,1467,2347",7,59
4,180x,"1459,2356",5,78
4,189x,1379,1379,24568
4,192x,"1468,2348",48,579
4,210x,"1567,2357",57,489
4,216x,"1389,1469,2349",9,57
4,224x,1478,1478,23569
4,240x,"1568,2358,2456",5,79
4,252x,"1479,2367",7,58
4,270x,"1569,2359",59,478
4,280x,"1578,2457",57,369
4,288x,"1489,2368",8,57
4,315x,1579,1579,23468
4,320x,2458,2458,13679
4,324x,2369,2369,14578
4,336x,"1678,2378,2467",7,59
4,360x,"1589,2459,3456",5,7
4,378x,"1679,2379",79,458
4,384x,2468,2468,13579
4,420x,"2567,3457",57,189
4,432x,"1689,2389,2469",9,57
4,448x,2478,2478,13569
4,480x,"2568,3458",58,179
4,504x,"1789,2479,3467",7,5
4,540x,"2569,3459",59,178
4,560x,2578,2578,13469
4,576x,"2489,3468",48,157
4,630x,"2579,3567",57,148
4,648x,3469,3469,12578
4,672x,"2678,3478",78,159
4,720x,"2589,3568",58,147
4,756x,"2679,3479",79,158
4,810x,3569,3569,12478
4,840x,"3578,4567",57,129
4,864x,"2689,3489",89,157
4,945x,3579,3579,12468
4,960x,4568,4568,12379
4,1008x,"2789,3678",78,145
4,1080x,"3589,4569",59,127
4,1120x,4578,4578,12369
4,1134x,3679,3679,12458
4,1260x,4579,4579,12368
4,1296x,3689,3689,12457
4,1344x,4678,4678,12359
4,1440x,4589,4589,12367
4,1512x,"3789,4679",79,125
4,1680x,5678,5678,12349
4,1728x,4689,4689,12357
4,1890x,5679,5679,12348
4,2016x,4789,4789,12356
4,2160x,5689,5689,12347
4,2520x,5789,5789,12346
4,3024x,6789,6789,12345
5,15+,12345,12345,6789
5,16+,12346,12346,5789
5,17+,"12347,12356",123,89
5,18+,"12348,12357,12456",12,9
5,19+,"12349,12358,12367,12457,13456",1,
5,20+,"12359,12368,12458,12467,13457,23456",,
5,21+,"12369,12378,12459,12468,12567,13458,13467,23457",,
5,22+,"12379,12469,12478,12568,13459,13468,13567,23458,23467",,
5,23+,"12389,12479,12569,12578,13469,13478,13568,14567,23459,23468,23567",,
5,24+,"12489,12579,12678,13479,13569,13578,14568,23469,23478,23568,24567",,
5,25+,"12589,12679,13489,13579,13678,14569,14578,23479,23569,23578,24568,34567",,
5,26+,"12689,13589,13679,14579,14678,23489,23579,23678,24569,24578,34568",,
5,27+,"12789,13689,14589,14679,15678,23589,23679,24579,24678,34569,34578",,
5,28+,"13789,14689,15679,23689,24589,24679,25678,34579,34678",,
5,29+,"14789,15689,23789,24689,25679,34589,34679,35678",,
5,30+,"15789,24789,25689,34689,35679,45678",,
5,31+,"16789,25789,34789,35689,45679",9,
5,32+,"26789,35789,45689",89,1
5,33+,"36789,45789",789,12
5,34+,46789,46789,1235
5,35+,56789,56789,1234
5,120x,12345,12345,6789
5,144x,12346,12346,5789
5,168x,12347,12347,5689
5,180x,12356,12356,4789
5,192x,12348,12348,5679
5,210x,12357,12357,4689
5,216x,12349,12349,5678
5,240x,"12358,12456",125,79
5,252x,12367,12367,4589
5,270x,12359,12359,4678
5,280x,12457,12457,3689
5,288x,12368,12368,4579
5,320x,12458,12458,3679
5,324x,12369,12369,4578
5,336x,"12378,12467",127,59
5,360x,"12459,13456",145,78
5,378x,12379,12379,4568
5,384x,12468,12468,3579
5,420x,"12567,13457",157,89
5,432x,"12389,12469",129,57
5,448x,12478,12478,3569
5,480x,"12568,13458",158,79
5,504x,"12479,13467",147,58
5,540x,"12569,13459",159,78
5,560x,12578,12578,3469
5,576x,"12489,13468",148,57
5,630x,"12579,13567",157,48
5,648x,13469,13469,2578
5,672x,"12678,13478",178,59
5,720x,"12589,13568,23456",5,7
5,756x,"12679,13479",179,58
5,810x,13569,13569,2478
5,840x,"13578,14567,23457",57,9
5,864x,"12689,13489",189,57
5,945x,13579,13579,2468
5,960x,"14568,23458",458,79
5,1008x,"12789,13678,23467",7,5
5,1080x,"13589,14569,23459",59,7
5,1120x,14578,14578,2369
5,1134x,13679,13679,2458
5,1152x,23468,23468,1579
5,1260x,"14579,23567",57,8
5,1296x,"13689,23469",369,57
5,1344x,"14678,23478",478,59
5,1440x,"14589,23568",58,7
5,1512x,"13789,14679,23479",79,5
5,1620x,23569,23569,1478
5,1680x,"15678,23578,24567",57,9
5,1728x,"14689,23489",489,57
5,1890x,"15679,23579",579,48
5,1920x,24568,24568,1379
5,2016x,"14789,23678",78,5
5,2160x,"15689,23589,24569",59,7
5,2240x,24578,24578,1369
5,2268x,23679,23679,1458
5,2520x,"15789,24579,34567",57,
5,2592x,23689,23689,1457
5,2688x,24678,24678,1359
5,2880x,"24589,34568",458,17
5,3024x,"16789,23789,24679",79,5
5,3240x,34569,34569,1278
5,3360x,"25678,34578",578,19
5,3456x,24689,24689,1357
5,3780x,"25679,34579",579,18
5,4032x,"24789,34678",478,15
5,4320x,"25689,34589",589,17
5,4536x,34679,34679,1258
5,5040x,"25789,35678",578,14
5,5184x,34689,34689,1257
5,5670x,35679,35679,1248
5,6048x,"26789,34789",789,15
5,6480x,35689,35689,1247
5,6720x,45678,45678,1239
5,7560x,"35789,45679",579,12
5,8640x,45689,45689,1237
5,9072x,36789,36789,1245
5,10080x,45789,45789,1236
5,12096x,46789,46789,1235
5,15120x,56789,56789,1234
6,21+,123456,123456,789
6,22+,123457,123457,689
6,23+,"123458,123467",1234,9
6,24+,"123459,123468,123567",123,
6,25+,"123469,123478,123568,124567",12,
6,26+,"123479,123569,123578,124568,134567",1,
6,27+,"123489,123579,123678,124569,124578,134568,234567",,
6,28+,"123589,123679,124579,124678,134569,134578,234568",,
6,29+,"123689,124589,124679,125678,134579,134678,234569,234578",,
6,30+,"123789,124689,125679,134589,134679,135678,234579,234678",,
6,31+,"124789,125689,134689,135679,145678,234589,234679,235678",,
6,32+,"125789,134789,135689,145679,234689,235679,245678",,
6,33+,"126789,135789,145689,234789,235689,245679,345678",,
6,34+,"136789,145789,235789,245689,345679",9,
6,35+,"146789,236789,245789,345689",89,
6,36+,"156789,246789,345789",789,
6,37+,"256789,346789",6789,1
6,38+,356789,356789,124
6,39+,456789,456789,123
6,720x,123456,123456,789
6,840x,123457,123457,689
6,960x,123458,123458,679
6,1008x,123467,123467,589
6,1080x,123459,123459,678
6,1152x,123468,123468,579
6,1260x,123567,123567,489
6,1296x,123469,123469,578
6,1344x,123478,123478,569
6,1440x,123568,123568,479
6,1512x,123479,123479,568
6,1620x,123569,123569,478
6,1680x,"123578,124567",1257,9
6,1728x,123489,123489,567
6,1890x,123579,123579,468
6,1920x,124568,124568,379
6,2016x,123678,123678,459
6,2160x,"123589,124569",1259,7
6,2240x,124578,124578,369
6,2268x,123679,123679,458
6,2520x,"124579,134567",1457,8
6,2592x,123689,123689,457
6,2688x,124678,124678,359
6,2880x,"124589,134568",1458,7
6,3024x,"123789,124679",1279,5
6,3240x,134569,134569,278
6,3360x,"125678,134578",1578,9
6,3456x,124689,124689,357
6,3780x,"125679,134579",1579,8
6,4032x,"124789,134678",1478,5
6,4320x,"125689,134589",1589,7
6,4536x,134679,134679,258
6,5040x,"125789,135678,234567",57,
6,5184x,134689,134689,257
6,5670x,135679,135679,248
6,5760x,234568,234568,179
6,6048x,"126789,134789",1789,5
6,6480x,"135689,234569",3569,7
6,6720x,"145678,234578",4578,9
6,7560x,"135789,145679,234579",579,
6,8064x,234678,234678,159
6,8640x,"145689,234589",4589,7
6,9072x,"136789,234679",3679,5
6,10080x,"145789,235678",578,
6,10368x,234689,234689,157
6,11340x,235679,235679,148
6,12096x,"146789,234789",4789,5
6,12960x,235689,235689,147
6,13440x,245678,245678,139
6,15120x,"156789,235789,245679",579,
6,17280x,245689,245689,137
6,18144x,236789,236789,145
6,20160x,"245789,345678",4578,1
6,22680x,345679,345679,128
6,24192x,246789,246789,135
6,25920x,345689,345689,127
6,30240x,"256789,345789",5789,1
6,36288x,346789,346789,125
6,45360x,356789,356789,124
6,60480x,456789,456789,123
7,28+,1234567,1234567,89
7,29+,1234568,1234568,79
7,30+,"1234569,1234578",12345,
7,31+,"1234579,1234678",12347,
7,32+,"1234589,1234679,1235678",123,
7,33+,"1234689,1235679,1245678",126,
7,34+,"1234789,1235689,1245679,1345678",1,
7,35+,"1235789,1245689,1345679,2345678",5,
7,36+,"1236789,1245789,1345689,2345679",9,
7,37+,"1246789,1345789,2345689",489,
7,38+,"1256789,1346789,2345789",789,
7,39+,"1356789,2346789",36789,
7,40+,"1456789,2356789",56789,
7,41+,2456789,2456789,13
7,42+,3456789,3456789,12
7,5040x,1234567,1234567,89
7,5760x,1234568,1234568,79
7,6480x,1234569,1234569,78
7,6720x,1234578,1234578,69
7,7560x,1234579,1234579,68
7,8064x,1234678,1234678,59
7,8640x,1234589,1234589,67
7,9072x,1234679,1234679,58
7,10080x,1235678,1235678,49
7,10368x,1234689,1234689,57
7,11340x,1235679,1235679,48
7,12096x,1234789,1234789,56
7,12960x,1235689,1235689,47
7,13440x,1245678,1245678,39
7,15120x,"1235789,1245679",12579,
7,17280x,1245689,1245689,37
7,18144x,1236789,1236789,45
7,20160x,"1245789,1345678",14578,
7,22680x,1345679,1345679,28
7,24192x,1246789,1246789,35
7,25920x,1345689,1345689,27
7,30240x,"1256789,1345789",15789,
7,36288x,1346789,1346789,25
7,40320x,2345678,2345678,19
7,45360x,"1356789,2345679",35679,
7,51840x,2345689,2345689,17
7,60480x,"1456789,2345789",45789,
7,72576x,2346789,2346789,15
7,90720x,2356789,2356789,14
7,120960x,2456789,2456789,13
7,181440x,3456789,3456789,12
8,36+,12345678,12345678,9
8,37+,12345679,12345679,8
8,38+,12345689,12345689,7
8,39+,12345789,12345789,6
8,40+,12346789,12346789,5
8,41+,12356789,12356789,4
8,42+,12456789,12456789,3
8,43+,13456789,13456789,2
8,44+,23456789,23456789,1
8,40320x,12345678,12345678,9
8,45360x,12345679,12345679,8
8,51840x,12345689,12345689,7
8,60480x,12345789,12345789,6
8,72576x,12346789,12346789,5
8,90720x,12356789,12356789,4
8,120960x,12456789,12456789,3
8,181440x,13456789,13456789,2
8,362880x,23456789,23456789,1
