Type,Result,Values,Always,Never
4,105x,1357,1357,246
4,120x,"1456,2345",45,7
4,126x,1367,1367,245
4,140x,1457,1457,236
4,144x,2346,2346,157
4,168x,"1467,2347",47,5
4,180x,2356,2356,147
4,210x,"1567,2357",57,4
4,240x,2456,2456,137
4,252x,2367,2367,145
4,280x,2457,2457,136
4,336x,2467,2467,135
4,360x,3456,3456,127
4,420x,"2567,3457",57,1
4,504x,3467,3467,125
4,630x,3567,3567,124
4,840x,4567,4567,123
5,15+,12345,12345,67
5,16+,12346,12346,57
5,17+,"12347,12356",123,
5,18+,"12357,12456",125,
5,19+,"12367,12457,13456",1,
5,20+,"12467,13457,23456",4,
5,21+,"12567,13467,23457",7,
5,22+,"13567,23467",367,
5,23+,"14567,23567",567,
5,24+,24567,24567,13
5,25+,34567,34567,12
5,120x,12345,12345,67
5,144x,12346,12346,57
5,168x,12347,12347,56
5,180x,12356,12356,47
5,210x,12357,12357,46
5,240x,12456,12456,37
5,252x,12367,12367,45
5,280x,12457,12457,36
5,336x,12467,12467,35
5,360x,13456,13456,27
5,420x,"12567,13457",157,
5,504x,13467,13467,25
5,630x,13567,13567,24
5,720x,23456,23456,17
5,840x,"14567,23457",457,
5,1008x,23467,23467,15
5,1260x,23567,23567,14
5,1680x,24567,24567,13
5,2520x,34567,34567,12
6,21+,123456,123456,7
6,22+,123457,123457,6
6,23+,123467,123467,5
6,24+,123567,123567,4
6,25+,124567,124567,3
6,26+,134567,134567,2
6,27+,234567,234567,1
6,720x,123456,123456,7
6,840x,123457,123457,6
6,1008x,123467,123467,5
6,1260x,123567,123567,4
6,1680x,124567,124567,3
6,2520x,134567,134567,2
6,5040x,234567,234567,1
7,28+,1234567,1234567,
7,5040x,1234567,1234567,
